file	symbol	timeframe	csv_rows	csv_raw	bad_dropped	db_rows	match
EURUSD_D1.csv	EURUSD	D1	938	938	0	938	True
EURUSD_H1.csv	EURUSD	H1	17877	17877	0	17877	True
EURUSD_H4.csv	EURUSD	H4	4807	4807	0	4807	True
EURUSD_M15.csv	EURUSD	M15	78273	78273	0	78273	True
EURUSD_M15_2026.csv	EURUSD	M15	7157	7157	0	78273	True
EURUSD_M5.csv	EURUSD	M5	100000	100000	0	100000	True
GBPJPY_D1.csv	GBPJPY	D1	938	938	0	938	True
GBPJPY_H1.csv	GBPJPY	H1	17847	17847	0	17847	True
GBPJPY_H4.csv	GBPJPY	H4	4806	4806	0	4806	True
GBPJPY_M15.csv	GBPJPY	M15	78131	78131	0	78131	True
GBPJPY_M15_2026.csv	GBPJPY	M15	7154	7154	0	78131	True
GBPUSD_D1.csv	GBPUSD	D1	938	938	0	938	True
GBPUSD_H1.csv	GBPUSD	H1	17862	17862	0	17862	True
GBPUSD_H4.csv	GBPUSD	H4	4804	4804	0	4804	True
GBPUSD_M15.csv	GBPUSD	M15	78211	78211	0	78211	True
GBPUSD_M15_2026.csv	GBPUSD	M15	7157	7157	0	78211	True
GBPUSD_M5.csv	GBPUSD	M5	100000	100000	0	100000	True
USDCAD_M5.csv	USDCAD	M5	100000	100000	0	100000	True
USDCHF_M5.csv	USDCHF	M5	100000	100000	0	100000	True
USDJPY_D1.csv	USDJPY	D1	938	938	0	938	True
USDJPY_H1.csv	USDJPY	H1	17853	17853	0	17853	True
USDJPY_H4.csv	USDJPY	H4	4802	4802	0	4802	True
USDJPY_M15.csv	USDJPY	M15	78178	78178	0	78178	True
USDJPY_M15_2026.csv	USDJPY	M15	7157	7157	0	78178	True
USDJPY_M5.csv	USDJPY	M5	100000	100000	0	100000	True
XAUUSD_D1.csv	XAUUSD	D1	934	934	0	934	True
XAUUSD_H1.csv	XAUUSD	H1	16991	16991	0	16991	True
XAUUSD_H1_fresh.csv	XAUUSD	H1	13698	13698	0	18779	True
XAUUSD_H4.csv	XAUUSD	H4	4772	4772	0	4772	True
XAUUSD_H4_fresh.csv	XAUUSD	H4	3714	3714	0	6443	True
XAUUSD_M1.csv	XAUUSD	M1	353951	353951	0	353951	True
XAUUSD_M15.csv	XAUUSD	M15	74324	74324	0	74324	True
XAUUSD_M15_2026.csv	XAUUSD	M15	6785	6785	0	74324	True
XAUUSD_M15_fresh.csv	XAUUSD	M15	4465	4465	0	75382	True
XAUUSD_M5.csv	XAUUSD	M5	100000	100000	0	100000	True
XAUUSD_M5_fresh.csv	XAUUSD	M5	13367	13367	0	102949	True
