timestamp,pair,direction,entry_price,exit_price,size,pnl,strategy
2026-06-01 10:24:00,USDJPY,long,149.7153,149.7192,0.05,94.43,killzone
2026-06-01 10:35:00,USDJPY,short,150.1037,150.1008,0.20,34.10,ict_smc
2026-06-01 12:45:00,EURUSD,long,1.0822,1.0850,0.05,62.40,srmr_plus
2026-06-01 15:02:00,EURUSD,long,1.0874,1.0884,0.05,35.88,srmr_plus
2026-06-01 15:21:00,GBPJPY,long,191.4492,191.4531,0.10,0.78,killzone
2026-06-02 13:05:00,USDJPY,long,150.2046,150.2053,0.10,-40.73,srmr_plus
2026-06-02 13:44:00,EURUSD,short,1.0828,1.0806,0.10,-10.08,killzone
2026-06-02 15:17:00,EURUSD,long,1.0853,1.0869,0.20,-43.04,ict_smc
2026-06-02 15:17:00,GBPUSD,short,1.2784,1.2778,0.15,7.04,ict_smc
2026-06-03 10:24:00,EURUSD,long,1.0863,1.0904,0.20,34.52,ict_smc
2026-06-03 11:16:00,GBPUSD,short,1.2721,1.2694,0.20,-0.58,srmr_plus
2026-06-03 16:05:00,GBPUSD,short,1.2775,1.2754,0.10,-32.68,killzone
2026-06-04 11:32:00,GBPJPY,long,191.4537,191.4585,0.15,10.34,killzone
2026-06-04 14:07:00,GBPJPY,short,191.9711,191.9674,0.15,39.87,srmr_plus
2026-06-04 14:31:00,USDJPY,long,149.6528,149.6568,0.05,5.87,ict_smc
2026-06-05 11:42:00,EURUSD,long,1.0873,1.0902,0.10,59.54,killzone
2026-06-05 12:03:00,EURUSD,short,1.0888,1.0846,0.15,-27.06,srmr_plus
2026-06-05 12:45:00,GBPUSD,short,1.2753,1.2721,0.10,-151.70,ict_smc
2026-06-06 09:37:00,GBPJPY,short,191.4381,191.4366,0.15,9.76,srmr_plus
2026-06-06 12:04:00,GBPUSD,long,1.2701,1.2738,0.05,12.76,killzone
2026-06-06 15:26:00,GBPJPY,long,191.0943,191.0978,0.15,88.97,ict_smc
2026-06-06 16:15:00,EURUSD,short,1.0807,1.0792,0.10,19.48,killzone
2026-06-07 11:24:00,GBPJPY,short,191.2137,191.2114,0.05,-2.61,ict_smc
2026-06-07 11:26:00,EURUSD,long,1.0865,1.0874,0.10,-10.01,ict_smc
2026-06-07 12:34:00,EURUSD,long,1.0806,1.0816,0.10,22.75,srmr_plus
2026-06-07 16:51:00,GBPUSD,short,1.2718,1.2692,0.05,-56.16,killzone
2026-06-08 09:03:00,GBPUSD,long,1.2758,1.2787,0.15,-16.99,killzone
2026-06-08 11:12:00,GBPJPY,short,191.9265,191.9229,0.20,43.97,srmr_plus
2026-06-08 12:25:00,GBPJPY,long,191.0569,191.0577,0.05,-117.01,ict_smc
2026-06-08 15:42:00,EURUSD,long,1.0858,1.0865,0.05,-5.76,ict_smc
2026-06-09 10:34:00,EURUSD,long,1.0846,1.0896,0.05,-1.10,srmr_plus
2026-06-09 11:16:00,USDJPY,long,150.1679,150.1709,0.05,-83.97,ict_smc
2026-06-09 12:43:00,EURUSD,long,1.0874,1.0888,0.15,27.32,ict_smc
2026-06-09 16:20:00,USDJPY,short,149.7043,149.7020,0.15,27.21,srmr_plus
2026-06-09 16:53:00,USDJPY,long,150.4333,150.4355,0.10,75.26,killzone
2026-06-10 09:53:00,GBPJPY,long,191.1119,191.1167,0.10,33.33,killzone
2026-06-10 10:40:00,USDJPY,short,149.7511,149.7465,0.05,68.71,srmr_plus
2026-06-10 11:59:00,GBPUSD,long,1.2735,1.2765,0.20,14.85,ict_smc
2026-06-10 14:13:00,USDJPY,long,149.9298,149.9345,0.05,51.79,killzone
2026-06-10 15:51:00,GBPUSD,long,1.2798,1.2804,0.15,46.17,ict_smc
2026-06-10 16:35:00,GBPJPY,short,191.0441,191.0392,0.10,21.73,srmr_plus
2026-06-11 09:06:00,GBPJPY,short,191.9392,191.9379,0.15,94.46,killzone
2026-06-11 09:54:00,GBPUSD,short,1.2716,1.2679,0.20,-60.81,srmr_plus
2026-06-11 12:01:00,GBPJPY,long,191.1996,191.2038,0.10,75.43,srmr_plus
2026-06-11 14:27:00,GBPUSD,short,1.2704,1.2663,0.10,-66.90,ict_smc
2026-06-11 14:41:00,GBPUSD,short,1.2733,1.2689,0.15,-3.19,killzone
2026-06-11 15:57:00,GBPJPY,short,191.7285,191.7266,0.05,105.54,ict_smc
2026-06-12 10:18:00,USDJPY,short,149.9418,149.9377,0.10,-32.34,ict_smc
2026-06-12 11:39:00,USDJPY,short,150.1972,150.1937,0.20,-9.60,killzone
2026-06-12 12:27:00,USDJPY,short,150.0479,150.0474,0.15,-13.13,ict_smc
2026-06-12 13:42:00,USDJPY,short,150.1634,150.1623,0.15,58.69,srmr_plus
2026-06-13 10:29:00,GBPJPY,long,191.1759,191.1766,0.10,61.65,killzone
2026-06-13 10:49:00,GBPUSD,short,1.2749,1.2733,0.05,60.39,killzone
2026-06-13 12:51:00,USDJPY,long,150.3184,150.3223,0.15,-18.41,srmr_plus
2026-06-13 16:26:00,GBPUSD,long,1.2702,1.2745,0.05,36.84,srmr_plus
2026-06-13 16:57:00,GBPJPY,short,191.9500,191.9455,0.20,-18.92,ict_smc
2026-06-14 09:13:00,GBPJPY,long,191.7064,191.7093,0.20,56.47,ict_smc
2026-06-14 11:09:00,EURUSD,short,1.0823,1.0803,0.05,71.99,killzone
2026-06-14 12:17:00,GBPJPY,short,191.2592,191.2553,0.20,36.24,srmr_plus
2026-06-15 11:53:00,GBPJPY,short,191.0290,191.0270,0.20,-18.04,ict_smc
2026-06-15 16:00:00,GBPJPY,long,191.8567,191.8606,0.20,55.09,srmr_plus
2026-06-15 16:14:00,USDJPY,short,150.3534,150.3495,0.10,54.91,killzone
2026-06-16 11:55:00,GBPUSD,long,1.2791,1.2800,0.20,-26.79,srmr_plus
2026-06-16 12:41:00,USDJPY,short,149.7523,149.7494,0.15,10.33,ict_smc
2026-06-16 14:21:00,GBPUSD,long,1.2726,1.2746,0.20,-17.20,killzone
2026-06-17 10:49:00,GBPJPY,long,191.5640,191.5680,0.10,27.40,killzone
2026-06-17 11:15:00,EURUSD,long,1.0895,1.0909,0.05,39.87,srmr_plus
2026-06-17 15:45:00,USDJPY,long,150.0787,150.0834,0.20,91.16,ict_smc
2026-06-18 09:22:00,EURUSD,long,1.0810,1.0842,0.05,48.72,srmr_plus
2026-06-18 14:01:00,GBPUSD,long,1.2728,1.2759,0.20,-95.24,ict_smc
2026-06-18 14:54:00,USDJPY,short,149.9649,149.9607,0.15,96.33,ict_smc
2026-06-18 15:11:00,GBPJPY,long,191.4335,191.4361,0.10,-39.63,killzone
2026-06-18 15:52:00,GBPJPY,short,191.0690,191.0656,0.05,-62.18,killzone
2026-06-19 14:17:00,USDJPY,long,149.9875,149.9896,0.15,60.35,srmr_plus
2026-06-19 14:44:00,USDJPY,short,149.9733,149.9694,0.15,-820.00,ict_smc
2026-06-19 15:44:00,GBPJPY,short,191.7929,191.7920,0.10,42.71,killzone
2026-06-19 16:41:00,USDJPY,long,150.0166,150.0189,0.10,25.76,killzone
2026-06-20 10:53:00,GBPUSD,long,1.2722,1.2771,0.15,-48.92,killzone
2026-06-20 11:17:00,GBPUSD,short,1.2723,1.2710,0.05,21.37,killzone
2026-06-20 13:30:00,EURUSD,short,1.0870,1.0843,0.05,84.76,ict_smc
2026-06-20 14:07:00,USDJPY,short,149.7514,149.7504,0.10,24.84,srmr_plus
2026-06-21 10:15:00,GBPJPY,short,191.0741,191.0729,0.15,5.88,killzone
2026-06-21 10:52:00,GBPJPY,short,191.1844,191.1837,0.20,106.78,srmr_plus
2026-06-21 13:55:00,GBPJPY,long,191.7757,191.7779,0.20,-14.47,ict_smc
2026-06-22 09:26:00,EURUSD,long,1.0824,1.0854,0.10,81.89,srmr_plus
2026-06-22 12:16:00,GBPJPY,short,191.5686,191.5677,0.10,152.94,srmr_plus
2026-06-22 12:59:00,GBPJPY,short,191.0326,191.0282,0.05,7.27,killzone
2026-06-22 13:52:00,GBPUSD,short,1.2711,1.2696,0.10,47.52,ict_smc
2026-06-23 11:37:00,EURUSD,long,1.0847,1.0881,0.15,-8.33,ict_smc
2026-06-23 13:36:00,EURUSD,short,1.0873,1.0858,0.05,-10.92,ict_smc
2026-06-23 16:05:00,USDJPY,short,150.4427,150.4399,0.20,77.19,killzone
2026-06-23 16:07:00,EURUSD,long,1.0817,1.0848,0.15,5.56,srmr_plus
2026-06-24 09:13:00,GBPUSD,short,1.2762,1.2735,0.20,-11.37,ict_smc
2026-06-24 14:26:00,GBPJPY,long,191.4700,191.4710,0.10,-1.90,srmr_plus
2026-06-24 16:05:00,GBPJPY,short,191.6626,191.6603,0.05,34.17,killzone
2026-06-24 16:26:00,USDJPY,short,149.8233,149.8205,0.05,54.99,killzone
2026-06-25 10:17:00,GBPUSD,short,1.2719,1.2687,0.10,90.58,ict_smc
2026-06-25 11:19:00,GBPUSD,short,1.2744,1.2695,0.10,26.87,srmr_plus
2026-06-25 16:07:00,EURUSD,short,1.0809,1.0759,0.05,-4.29,killzone
2026-06-25 16:15:00,GBPUSD,short,1.2793,1.2769,0.20,-1.26,killzone
2026-06-26 09:20:00,USDJPY,long,150.4808,150.4852,0.20,17.76,killzone
2026-06-26 09:46:00,GBPUSD,short,1.2787,1.2758,0.20,45.48,ict_smc
2026-06-26 11:28:00,USDJPY,short,150.3205,150.3174,0.20,26.37,srmr_plus
2026-06-26 16:02:00,GBPJPY,short,191.3861,191.3826,0.10,58.82,ict_smc
2026-06-26 16:59:00,GBPJPY,short,191.3324,191.3285,0.20,47.97,killzone
2026-06-27 09:02:00,GBPJPY,long,191.7604,191.7616,0.15,-7.89,ict_smc
2026-06-27 12:47:00,EURUSD,long,1.0823,1.0859,0.15,-48.40,killzone
2026-06-27 14:39:00,GBPJPY,long,191.0748,191.0788,0.15,-3.28,srmr_plus
2026-06-27 16:55:00,GBPJPY,long,191.8518,191.8540,0.15,62.50,killzone
2026-06-28 11:14:00,GBPUSD,long,1.2718,1.2754,0.20,-15.35,killzone
2026-06-28 12:24:00,USDJPY,long,150.4994,150.5037,0.05,65.89,ict_smc
2026-06-28 13:29:00,GBPUSD,long,1.2744,1.2778,0.20,-45.12,ict_smc
2026-06-28 13:43:00,GBPJPY,short,191.4596,191.4561,0.20,-9.94,killzone
2026-06-28 15:36:00,EURUSD,short,1.0836,1.0812,0.10,12.95,srmr_plus
2026-06-29 09:19:00,GBPUSD,short,1.2768,1.2725,0.05,4.34,killzone
2026-06-29 09:36:00,USDJPY,short,150.4927,150.4892,0.15,-3.72,srmr_plus
2026-06-29 11:16:00,GBPJPY,long,191.2008,191.2029,0.15,27.90,ict_smc
2026-06-29 13:20:00,GBPJPY,long,191.5796,191.5834,0.05,-42.71,killzone
2026-06-29 14:14:00,EURUSD,short,1.0883,1.0837,0.10,167.56,srmr_plus
2026-06-29 16:04:00,GBPJPY,short,191.7466,191.7446,0.05,-119.49,ict_smc
2026-06-30 09:19:00,GBPJPY,short,191.6492,191.6482,0.05,-51.22,ict_smc
2026-06-30 10:40:00,GBPUSD,short,1.2703,1.2657,0.10,57.54,ict_smc
2026-06-30 13:34:00,GBPUSD,short,1.2797,1.2756,0.05,51.05,srmr_plus
2026-06-30 14:06:00,GBPJPY,short,191.6728,191.6693,0.20,-20.95,killzone
