2026-05-12 03:25:55 | WARNING  | ayumi.risk | No state file at /tmp/pytest-of-root/pytest-551/test_start_restores_no_state0/risk_state.json — starting fresh
2026-05-12 03:25:55 | WARNING  | ayumi.risk | No state file at /tmp/pytest-of-root/pytest-551/test_signal_processing0/risk_state.json — starting fresh
2026-05-12 03:25:55 | WARNING  | ayumi.risk | No state file at /tmp/pytest-of-root/pytest-551/test_multiple_signals_in_seque0/risk_state.json — starting fresh
2026-05-12 03:25:55 | WARNING  | ayumi.risk | No state file at /tmp/pytest-of-root/pytest-551/test_fill_handling_updates_bal0/risk_state.json — starting fresh
2026-05-12 03:25:55 | WARNING  | ayumi.risk | No state file at /tmp/pytest-of-root/pytest-551/test_state_save_on_stop0/risk_state.json — starting fresh
2026-05-12 03:25:55 | WARNING  | ayumi.risk | No state file at /tmp/pytest-of-root/pytest-551/test_state_restore_on_start0/risk_state.json — starting fresh
2026-05-12 03:25:57 | WARNING  | ayumi.forward_test | Reconnection failed — next attempt in 0.0s
2026-05-12 03:25:57 | WARNING  | ayumi.forward_test | Reconnection failed — next attempt in 0.0s
2026-05-12 03:25:57 | WARNING  | ayumi.forward_test | Reconnection failed — next attempt in 0.0s
2026-05-12 03:25:57 | WARNING  | ayumi.forward_test | Reconnection failed — next attempt in 0.0s
2026-05-12 03:25:57 | WARNING  | ayumi.forward_test | Reconnection failed — next attempt in 0.0s
2026-05-12 03:25:57 | WARNING  | ayumi.forward_test | Reconnection failed — next attempt in 0.0s
2026-05-12 03:25:57 | WARNING  | ayumi.forward_test | Reconnection failed — next attempt in 0.0s
2026-05-12 03:25:57 | WARNING  | ayumi.forward_test | Reconnection failed — next attempt in 0.0s
2026-05-12 03:25:57 | WARNING  | ayumi.forward_test | Reconnection failed — next attempt in 0.0s
2026-05-12 03:25:57 | CRITICAL | ayumi.forward_test | Reconnect circuit-breaker tripped: 10 consecutive attempts with no ticks (max=10). Stopping engine gracefully.
2026-05-12 03:25:57 | WARNING  | ayumi.forward_test | Reconnection failed — next attempt in 0.0s
2026-05-12 03:25:57 | WARNING  | ayumi.forward_test | Reconnection failed — next attempt in 0.0s
2026-05-12 03:25:57 | WARNING  | ayumi.forward_test | Reconnection failed — next attempt in 0.0s
2026-05-12 03:25:57 | WARNING  | ayumi.forward_test | Reconnection failed — next attempt in 0.0s
2026-05-12 03:25:57 | WARNING  | ayumi.forward_test | Reconnection failed — next attempt in 0.0s
2026-05-12 03:25:57 | WARNING  | ayumi.forward_test | Reconnection failed — next attempt in 0.0s
2026-05-12 03:25:57 | WARNING  | ayumi.forward_test | Reconnection failed — next attempt in 0.0s
2026-05-12 03:25:57 | CRITICAL | ayumi.forward_test | Reconnect circuit-breaker tripped: 3 consecutive attempts with no ticks (max=3). Stopping engine gracefully.
2026-05-12 03:25:57 | WARNING  | ayumi.forward_test | Connection health check failed: connected=False last_tick_ago=infs threshold=900.0s — reconnecting
2026-05-12 03:25:57 | WARNING  | ayumi.forward_test | Reconnection failed — next attempt in 0.0s
2026-05-12 03:25:57 | WARNING  | ayumi.forward_test | Connection health check failed: connected=False last_tick_ago=infs threshold=30.0s — reconnecting
2026-05-12 03:25:57 | WARNING  | ayumi.forward_test | Reconnection failed — next attempt in 0.0s
2026-05-12 03:25:57 | WARNING  | ayumi.forward_test | Connection health check failed: connected=False last_tick_ago=infs threshold=30.0s — reconnecting
2026-05-12 03:25:57 | WARNING  | ayumi.forward_test | Reconnection failed — next attempt in 0.0s
2026-05-12 03:30:10 | WARNING  | ayumi.risk | No state file at /tmp/pytest-of-root/pytest-552/test_start_restores_no_state0/risk_state.json — starting fresh
2026-05-12 03:30:10 | WARNING  | ayumi.risk | No state file at /tmp/pytest-of-root/pytest-552/test_signal_processing0/risk_state.json — starting fresh
2026-05-12 03:30:10 | WARNING  | ayumi.risk | No state file at /tmp/pytest-of-root/pytest-552/test_multiple_signals_in_seque0/risk_state.json — starting fresh
2026-05-12 03:30:10 | WARNING  | ayumi.risk | No state file at /tmp/pytest-of-root/pytest-552/test_fill_handling_updates_bal0/risk_state.json — starting fresh
2026-05-12 03:30:10 | WARNING  | ayumi.risk | No state file at /tmp/pytest-of-root/pytest-552/test_state_save_on_stop0/risk_state.json — starting fresh
2026-05-12 03:30:10 | WARNING  | ayumi.risk | No state file at /tmp/pytest-of-root/pytest-552/test_state_restore_on_start0/risk_state.json — starting fresh
2026-05-12 03:30:12 | WARNING  | ayumi.forward_test | Reconnection failed — next attempt in 0.0s
2026-05-12 03:30:12 | WARNING  | ayumi.forward_test | Reconnection failed — next attempt in 0.0s
2026-05-12 03:30:12 | WARNING  | ayumi.forward_test | Reconnection failed — next attempt in 0.0s
2026-05-12 03:30:12 | WARNING  | ayumi.forward_test | Reconnection failed — next attempt in 0.0s
2026-05-12 03:30:12 | WARNING  | ayumi.forward_test | Reconnection failed — next attempt in 0.0s
2026-05-12 03:30:12 | WARNING  | ayumi.forward_test | Reconnection failed — next attempt in 0.0s
2026-05-12 03:30:12 | WARNING  | ayumi.forward_test | Reconnection failed — next attempt in 0.0s
2026-05-12 03:30:12 | WARNING  | ayumi.forward_test | Reconnection failed — next attempt in 0.0s
2026-05-12 03:30:12 | WARNING  | ayumi.forward_test | Reconnection failed — next attempt in 0.0s
2026-05-12 03:30:12 | CRITICAL | ayumi.forward_test | Reconnect circuit-breaker tripped: 10 consecutive attempts with no ticks (max=10). Stopping engine gracefully.
2026-05-12 03:30:12 | WARNING  | ayumi.forward_test | Reconnection failed — next attempt in 0.0s
2026-05-12 03:30:12 | WARNING  | ayumi.forward_test | Reconnection failed — next attempt in 0.0s
2026-05-12 03:30:12 | WARNING  | ayumi.forward_test | Reconnection failed — next attempt in 0.0s
2026-05-12 03:30:12 | WARNING  | ayumi.forward_test | Reconnection failed — next attempt in 0.0s
2026-05-12 03:30:12 | WARNING  | ayumi.forward_test | Reconnection failed — next attempt in 0.0s
2026-05-12 03:30:12 | WARNING  | ayumi.forward_test | Reconnection failed — next attempt in 0.0s
2026-05-12 03:30:12 | WARNING  | ayumi.forward_test | Reconnection failed — next attempt in 0.0s
2026-05-12 03:30:12 | CRITICAL | ayumi.forward_test | Reconnect circuit-breaker tripped: 3 consecutive attempts with no ticks (max=3). Stopping engine gracefully.
2026-05-12 03:30:12 | WARNING  | ayumi.forward_test | Connection health check failed: connected=False last_tick_ago=infs threshold=900.0s — reconnecting
2026-05-12 03:30:12 | WARNING  | ayumi.forward_test | Reconnection failed — next attempt in 0.0s
2026-05-12 03:30:12 | WARNING  | ayumi.forward_test | Connection health check failed: connected=False last_tick_ago=infs threshold=30.0s — reconnecting
2026-05-12 03:30:12 | WARNING  | ayumi.forward_test | Reconnection failed — next attempt in 0.0s
2026-05-12 03:30:12 | WARNING  | ayumi.forward_test | Connection health check failed: connected=False last_tick_ago=infs threshold=30.0s — reconnecting
2026-05-12 03:30:12 | WARNING  | ayumi.forward_test | Reconnection failed — next attempt in 0.0s
2026-05-12 03:43:36 | WARNING  | ayumi.risk | No state file at /tmp/pytest-of-root/pytest-553/test_start_restores_no_state0/risk_state.json — starting fresh
2026-05-12 03:43:36 | WARNING  | ayumi.risk | No state file at /tmp/pytest-of-root/pytest-553/test_signal_processing0/risk_state.json — starting fresh
